status,product_area,response,justification,request_type
escalated,team_enterprise,Escalate to a human support specialist because the request involves privileged account access or administrative action.,Human review required due to: privileged_account_action.,product_issue
escalated,screen,Escalate to a human support specialist because the request asks to review or change a hiring outcome.,"Human review required due to: score_or_recruiting_outcome, unsupported_action.",product_issue
escalated,dispute_resolution,"Escalate to a human support specialist because the request involves refunds, cash, or payment action that the agent cannot perform.","Human review required due to: money_or_refund, unsupported_action.",product_issue
escalated,community,"Escalate to a human support specialist because the request involves refunds, cash, or payment action that the agent cannot perform.",Human review required due to: money_or_refund.,bug
escalated,general_help,"Escalate to a human support specialist because the request involves refunds, cash, or payment action that the agent cannot perform.",Human review required due to: money_or_refund.,product_issue
escalated,settings,Escalate to a human support specialist for safe handling.,Human review required due to: unsupported_action.,product_issue
replied,community,"Relevant article: Notification. Impact The **Home** and **Apply** tabs will be deprecated, but the features of the **Home** tab remain accessible under other tabs.",Answered using local HackerRank support documentation: Notification.,bug
escalated,screen,Escalate to a human support specialist because this appears to involve a broad outage or service-wide failure.,Human review required due to: platform_outage.,bug
replied,screen,"Relevant article: Proctor Mode Enable Proctor Mode Proctor Mode compatibility How Proctor Mode works. Before the test: Set rules and guidelines Proctor Mode starts with an onboarding flow that prepares candidates and helps prevent integrity issues: - **System compatibility and permissions:** Candidates must meet technical requirements for network stability, supported operating systems, and supported browsers. The test does not begin until all requirements are met. - **Consent and test rules:** Candidates review and acknowledge a list of prohibited actions, such as switching tabs or using external tools, and must give consent to proceed.",Answered using local HackerRank support documentation: Proctor Mode Enable Proctor Mode Proctor Mode compatibility How Proctor Mode works.,bug
escalated,screen,Escalate to a human support specialist for safe handling.,Human review required due to: unsupported_action.,product_issue
replied,interviews,"Relevant article: Screen-to-Interview Identity Match. The interviewer can then respond to the alert by selecting one of the following options: - **Yes, Same person**: Confirms that the candidate is the same individual. - **No, Different person**: Flags a mismatch. This status is displayed in the **Suspicious Signals** panel and the interview report. **Note:** It is recommended to establish an internal process to address flagged identity mismatches. This process may include notifying your HR or recruitment operations team and documenting the outcome as part of the interview feedback workflow",Answered using local HackerRank support documentation: Screen-to-Interview Identity Match.,product_issue
escalated,,Escalate to a human support specialist for safe handling.,The ticket lacks enough product context to answer safely.,bug
replied,settings,"Relevant article: Manage Team Members Prerequisite Managing team members. Removing a team member To remove a team member from the team: 1. Locate the user in the list. 2. Select the **delete** icon in the **Action** column. **Note:** - To update the team role allocation limit, see 📄 Update Team Role Allocation Limit. - To update the team settings, see 📄 Update Team Settings. \",Answered using local HackerRank support documentation: Manage Team Members Prerequisite Managing team members.,product_issue
replied,settings,"Relevant article: Pause Subscription. Pause Subscription _Last updated: Mar 6, 2026, 12:18 AM (Last updated 2 months ago)_ The **Pause Subscription** feature allows individual self-serve plan subscribers to temporarily pause their HackerRank subscription instead of canceling it. This feature enables you to resume your subscription whenever needed, ensuring flexibility and uninterrupted access when required.",Answered using local HackerRank support documentation: Pause Subscription.,product_issue
escalated,troubleshooting,Escalate to a human support specialist because this appears to involve a broad outage or service-wide failure.,Human review required due to: platform_outage.,bug
escalated,fraud_protection,"Escalate to a human support specialist because the request involves security, fraud, or identity-theft risk.",Human review required due to: security_or_fraud.,product_issue
replied,community,"Relevant article: Create a Resume with Resume Builder. Creating a resume with Resume Builder You can create a resume in one of the following ways: - Build from scratch using a template. - Import an existing resume in .doc, .docx, or .pdf format.",Answered using local HackerRank support documentation: Create a Resume with Resume Builder.,bug
